accession	harmonized_name	count
SAMEA907003	component_organism	2
SAMEA907014	component_organism	2
SAMN00000414	family_id	2
SAMN00000415	family_id	2
SAMN00000474	family_id	2
SAMN00000475	family_id	2
SAMN00000476	family_id	2
SAMN00000477	family_id	2
SAMN00000478	family_id	2
SAMN00000479	family_id	2
SAMN00000480	family_id	2
SAMN00000481	family_id	2
SAMN00000482	family_id	2
SAMN00000483	family_id	2
SAMN00000484	family_id	2
SAMN00000546	family_id	2
SAMN00000547	family_id	2
SAMN00000548	family_id	2
SAMN00000549	family_id	2
SAMN00000550	family_id	2
SAMN00000551	family_id	2
SAMN00000552	family_id	2
SAMN00000553	family_id	2
SAMN00000555	family_id	2
SAMN00000556	family_id	2
SAMN00000557	family_id	2
SAMN00000558	family_id	2
SAMN00000559	family_id	2
SAMN00000563	family_id	2
SAMN00000564	family_id	2
SAMN00000565	family_id	2
SAMN00000566	family_id	2
SAMN00000567	family_id	2
SAMN00000568	family_id	2
SAMN00000569	family_id	2
SAMN00000570	family_id	2
SAMN00000571	family_id	2
SAMN00000572	family_id	2
SAMN00000573	family_id	2
SAMN00000574	family_id	2
SAMN00000575	family_id	2
SAMN00001694	family_id	2
SAMN00001695	family_id	2
SAMN00001696	family_id	2
SAMN00003623	temp	2
SAMN00003631	temp	2
SAMN00004032	salinity	2
SAMN00004032	sample_type	2
SAMN00004033	salinity	2
SAMN00004033	sample_type	2
SAMN00004034	salinity	2
SAMN00004034	sample_type	2
SAMN00004035	salinity	2
SAMN00004035	sample_type	2
SAMN00004036	salinity	2
SAMN00004036	sample_type	2
SAMN00004038	salinity	2
SAMN00004038	sample_type	2
SAMN00004040	salinity	2
SAMN00004040	sample_type	2
SAMN00004044	salinity	2
SAMN00004044	sample_type	2
SAMN00004048	salinity	2
SAMN00004048	sample_type	2
SAMN00004052	salinity	2
SAMN00004052	sample_type	2
SAMN00004270	strain	2
SAMN00004271	strain	2
SAMN00004272	strain	2
SAMN00004466	family_id	2
SAMN00004467	family_id	2
SAMN00004468	family_id	2
SAMN00004469	family_id	2
SAMN00004470	family_id	2
SAMN00004471	family_id	2
SAMN00004472	family_id	2
SAMN00004473	family_id	2
SAMN00004474	family_id	2
SAMN00004475	family_id	2
SAMN00004477	family_id	2
SAMN00004480	family_id	2
SAMN00004481	family_id	2
SAMN00004482	family_id	2
SAMN00004483	family_id	2
SAMN00004484	family_id	2
SAMN00004485	family_id	2
SAMN00004486	family_id	2
SAMN00004487	family_id	2
SAMN00004693	family_id	2
SAMN00006627	family_id	2
SAMN00006928	diss_oxygen	2
SAMN00007700	family_id	2
SAMN00007701	family_id	2
SAMN00007702	family_id	2
SAMN00007704	family_id	2
SAMN00007705	family_id	2
SAMN00007707	family_id	2
SAMN00007708	family_id	2
SAMN00007710	family_id	2
SAMN00007711	family_id	2
SAMN00007713	family_id	2
SAMN00007714	family_id	2
SAMN00007716	family_id	2
SAMN00007717	family_id	2
SAMN00007719	family_id	2
SAMN00007720	family_id	2
SAMN00007722	family_id	2
SAMN00007723	family_id	2
SAMN00007725	family_id	2
SAMN00007726	family_id	2
SAMN00007728	family_id	2
SAMN00007729	family_id	2
SAMN00007731	family_id	2
SAMN00007732	family_id	2
SAMN00007734	family_id	2
SAMN00007735	family_id	2
SAMN00007737	family_id	2
SAMN00007738	family_id	2
SAMN00007740	family_id	2
SAMN00007742	family_id	2
SAMN00007743	family_id	2
SAMN00007744	family_id	2
SAMN00007746	family_id	2
SAMN00007747	family_id	2
SAMN00007749	family_id	2
SAMN00007750	family_id	2
SAMN00007752	family_id	2
SAMN00007753	family_id	2
SAMN00007755	family_id	2
SAMN00007756	family_id	2
SAMN00007758	family_id	2
SAMN00007759	family_id	2
SAMN00007761	family_id	2
SAMN00007762	family_id	2
SAMN00007764	family_id	2
SAMN00007765	family_id	2
SAMN00007767	family_id	2
SAMN00007768	family_id	2
SAMN00007770	family_id	2
SAMN00007771	family_id	2
SAMN00007773	family_id	2
SAMN00007774	family_id	2
SAMN00007776	family_id	2
SAMN00007777	family_id	2
SAMN00007779	family_id	2
SAMN00007780	family_id	2
SAMN00007782	family_id	2
SAMN00007783	family_id	2
SAMN00007785	family_id	2
SAMN00007786	family_id	2
SAMN00007788	family_id	2
SAMN00007789	family_id	2
SAMN00007791	family_id	2
SAMN00007792	family_id	2
SAMN00007794	family_id	2
SAMN00007795	family_id	2
SAMN00007797	family_id	2
SAMN00007798	family_id	2
SAMN00007800	family_id	2
SAMN00007801	family_id	2
SAMN00007803	family_id	2
SAMN00007804	family_id	2
SAMN00007806	family_id	2
