CUI-less	N/A	CHEBI:25213	metal cation	metal cation	biolink:ChemicalSubstance
CUI-less	N/A	CHEBI:25212	metabolite	metabolite	biolink:ChemicalSubstance
CUI-less	N/A	CHEBI:25216	metalloporphyrin	metalloporphyrin	biolink:ChemicalSubstance
CUI-less	N/A	UBERON:0011595	jaw region	jaw region	biolink:AnatomicalEntity
CUI-less	N/A	CHEBI:76807	EC 3.5.1.* (non-peptide linear amide C-N hydrolase) inhibitor	EC 3.5.1.* (non-peptide linear amide C-N hydrolase) inhibitor	biolink:ChemicalSubstance
CUI-less	N/A	OBO:FOODON_03400204	candy (us cfr)	candy (us cfr)	biolink:OntologyClass
CUI-less	N/A	UBERON:0010258	mesenchyme from rhombencephalic neural crest	mesenchyme from rhombencephalic neural crest	biolink:AnatomicalEntity
CUI-less	N/A	UBERON:0010259	pharyngeal arch 1 mesenchyme from neural crest	1st arch mesenchyme from neural crest	biolink:AnatomicalEntity
CUI-less	N/A	UBERON:0010259	neural crest derived arch 1 mesenchyme	1st arch mesenchyme from neural crest	biolink:AnatomicalEntity
CUI-less	N/A	UBERON:0010259	mesenchyme derived from neural crest of mesenchyme of 1st arch	1st arch mesenchyme from neural crest	biolink:AnatomicalEntity
CUI-less	N/A	UBERON:0010259	branchial arch 1 mesenchyme from neural crest	1st arch mesenchyme from neural crest	biolink:AnatomicalEntity
CUI-less	N/A	UBERON:0010259	1st arch mesenchyme from neural crest	1st arch mesenchyme from neural crest	biolink:AnatomicalEntity
CUI-less	N/A	OBO:FOODON_03400209	fruit jelly (us cfr)	fruit jelly (us cfr)	biolink:OntologyClass
CUI-less	N/A	CHEBI:27889	lead(0)	lead(0)	biolink:ChemicalSubstance
CUI-less	N/A	CHEBI:27888	chlorophyll b	chlorophyll b	biolink:ChemicalSubstance
CUI-less	N/A	UBERON:0010252	1st arch mandibular mesenchyme from neural crest	1st arch mandibular mesenchyme from neural crest	biolink:AnatomicalEntity
CUI-less	N/A	UBERON:0011585	cell condensation	cell condensation	biolink:AnatomicalEntity
CUI-less	N/A	OBO:FOODON_03400213	fudge (us cfr)	fudge (us cfr)	biolink:OntologyClass
CUI-less	N/A	CHEBI:27856	acetamide	acetamide	biolink:ChemicalSubstance
CUI-less	N/A	NCBITaxon:13468	cypress	Cupressus	biolink:OrganismalEntity
CUI-less	N/A	NCBITaxon:13468	Cupressus	Cupressus	biolink:OrganismalEntity
CUI-less	N/A	CHEBI:26523	reactive oxygen species	reactive oxygen species	biolink:ChemicalSubstance
CUI-less	N/A	CHEBI:76838	EC 1.14.14.* (oxidoreductase acting on paired donors, incorporating of 1 atom of oxygen, with reduced flavin or flavoprotein as one donor) inhibitor	EC 1.14.14.* (oxidoreductase acting on paired donors, incorporating of 1 atom of oxygen, with reduced flavin or flavoprotein as one donor) inhibitor	biolink:ChemicalSubstance
CUI-less	N/A	UBERON:0010230	eye	eyeball of camera-type eye	biolink:AnatomicalEntity
CUI-less	N/A	UBERON:0010230	bulbus oculi	eyeball of camera-type eye	biolink:AnatomicalEntity
CUI-less	N/A	UBERON:0010230	eyeball	eyeball of camera-type eye	biolink:AnatomicalEntity
CUI-less	N/A	UBERON:0010230	eye globe	eyeball of camera-type eye	biolink:AnatomicalEntity
CUI-less	N/A	UBERON:0010230	globe	eyeball of camera-type eye	biolink:AnatomicalEntity
CUI-less	N/A	UBERON:0010230	eyeball of camera-type eye	eyeball of camera-type eye	biolink:AnatomicalEntity
CUI-less	N/A	OBO:PATO_0002219	fan-like	fan-shaped	biolink:OntologyClass
CUI-less	N/A	OBO:PATO_0002219	fan-shaped	fan-shaped	biolink:OntologyClass
CUI-less	N/A	UBERON:0010225	thalamic complex	thalamic complex	biolink:AnatomicalEntity
CUI-less	N/A	OBO:PATO_0002212	gracile	slender	biolink:OntologyClass
CUI-less	N/A	OBO:PATO_0002212	slender	slender	biolink:OntologyClass
CUI-less	N/A	OBO:FOODON_03400231	margarine (us cfr)	margarine (us cfr)	biolink:OntologyClass
CUI-less	N/A	NCBITaxon:7088	butterflies and moths	Lepidoptera	biolink:OrganismalEntity
CUI-less	N/A	NCBITaxon:7088	moths	Lepidoptera	biolink:OrganismalEntity
CUI-less	N/A	NCBITaxon:7088	moths	Lepidoptera	biolink:OrganismalEntity
CUI-less	N/A	NCBITaxon:7088	Lepidoptera	Lepidoptera	biolink:OrganismalEntity
CUI-less	N/A	NCBITaxon:3524	Centrospermae	Caryophyllales	biolink:OrganismalEntity
CUI-less	N/A	NCBITaxon:3524	Caryophyllales	Caryophyllales	biolink:OrganismalEntity
CUI-less	N/A	GO:0019414	aerobic respiration, using sulfur or sulfate as electron donor	aerobic respiration, using sulfur or sulfate as electron donor	biolink:OntologyClass
CUI-less	N/A	GO:0019412	aerobic respiration, using hydrogen as electron donor	aerobic respiration, using hydrogen as electron donor	biolink:OntologyClass
CUI-less	N/A	GO:0055114	oxidation-reduction process	oxidation-reduction process	biolink:OntologyClass
CUI-less	N/A	GO:0019410	aerobic respiration, using carbon monoxide as electron donor	aerobic respiration, using carbon monoxide as electron donor	biolink:OntologyClass
CUI-less	N/A	GO:0019411	aerobic respiration, using ferrous ions as electron donor	aerobic respiration, using ferrous ions as electron donor	biolink:OntologyClass
CUI-less	N/A	CHEBI:26519	radical	radical	biolink:ChemicalSubstance
CUI-less	N/A	GO:0019409	aerobic respiration, using ammonia as electron donor	aerobic respiration, using ammonia as electron donor	biolink:OntologyClass
CUI-less	N/A	OBO:FOODON_00001070	miso food product	miso food product	biolink:OntologyClass
CUI-less	N/A	OBO:FOODON_00001071	grape must	grape must	biolink:OntologyClass
CUI-less	N/A	OBO:FOODON_00001074	barley malt vinegar	barley malt vinegar	biolink:OntologyClass
CUI-less	N/A	OBO:FOODON_00001075	mammalian milk (nonfat, dry)	mammalian milk (nonfat, dry)	biolink:OntologyClass
CUI-less	N/A	OBO:FOODON_00001073	vinegar food product	vinegar food product	biolink:OntologyClass
CUI-less	N/A	OBO:FOODON_00001078	fermented soybean food product	fermented soybean food product	biolink:OntologyClass
CUI-less	N/A	OBO:FOODON_00001079	pickled	food (pickled)	biolink:OntologyClass
CUI-less	N/A	OBO:FOODON_00001079	food (pickled)	food (pickled)	biolink:OntologyClass
CUI-less	N/A	OBO:FOODON_00001076	sake food product	sake food product	biolink:OntologyClass
CUI-less	N/A	OBO:FOODON_00001077	salt pork meat food product	salt pork meat food product	biolink:OntologyClass
CUI-less	N/A	OBO:FOODON_03400289	product type, USA	product type, USA	biolink:OntologyClass
CUI-less	N/A	NCBITaxon:465832	Calyptra	Calyptra	biolink:OrganismalEntity
CUI-less	N/A	OBO:FOODON_00001081	Bondon cheese food product	Bondon cheese food product	biolink:OntologyClass
CUI-less	N/A	OBO:FOODON_00001082	bitter cheese food product	bitter cheese food product	biolink:OntologyClass
CUI-less	N/A	OBO:FOODON_03400294	butter product analog (us cfr)	butter product analog (us cfr)	biolink:OntologyClass
CUI-less	N/A	OBO:FOODON_03400293	soft candy (us cfr)	soft candy (us cfr)	biolink:OntologyClass
CUI-less	N/A	OBO:FOODON_00001080	tape kefan food product	tape kefan food product	biolink:OntologyClass
CUI-less	N/A	OBO:FOODON_00001086	kefir food product	kefir food product	biolink:OntologyClass
CUI-less	N/A	GO:0015947	methane metabolic process	methane metabolic process	biolink:OntologyClass
CUI-less	N/A	GO:0015948	methanogenesis	methanogenesis	biolink:OntologyClass
CUI-less	N/A	OBO:FOODON_00001083	sugar condiment	sugar condiment	biolink:OntologyClass
CUI-less	N/A	OBO:FOODON_00001089	corn flour food product	corn flour food product	biolink:OntologyClass
CUI-less	N/A	OBO:FOODON_00001087	vegetable oil food product	vegetable oil food product	biolink:OntologyClass
CUI-less	N/A	OBO:FOODON_00001088	linseed oil	flaxseed oil	biolink:OntologyClass
CUI-less	N/A	OBO:FOODON_00001088	flax oil	flaxseed oil	biolink:OntologyClass
CUI-less	N/A	OBO:FOODON_00001088	flax seed oil	flaxseed oil	biolink:OntologyClass
CUI-less	N/A	OBO:FOODON_00001088	linseed oil	flaxseed oil	biolink:OntologyClass
CUI-less	N/A	OBO:FOODON_00001088	flaxseed oil	flaxseed oil	biolink:OntologyClass
CUI-less	N/A	ENVO:01000611	bus	bus	biolink:OntologyClass
CUI-less	N/A	ENVO:01000612	taxi	taxicab	biolink:OntologyClass
CUI-less	N/A	ENVO:01000612	cab	taxicab	biolink:OntologyClass
CUI-less	N/A	ENVO:01000612	taxicab	taxicab	biolink:OntologyClass
CUI-less	N/A	ENVO:01000613	watercraft	watercraft	biolink:OntologyClass
CUI-less	N/A	ENVO:01000614	bike	bicycle	biolink:OntologyClass
CUI-less	N/A	ENVO:01000614	cycle	bicycle	biolink:OntologyClass
CUI-less	N/A	ENVO:01000614	bicycle	bicycle	biolink:OntologyClass
CUI-less	N/A	ENVO:01000610	engine	motor	biolink:OntologyClass
CUI-less	N/A	ENVO:01000610	motor	motor	biolink:OntologyClass
CUI-less	N/A	OBO:FOODON_00001092	vertebrate animal food product	vertebrate animal food product	biolink:OntologyClass
CUI-less	N/A	ENVO:01000619	closed ecological system	closed ecological system	biolink:OntologyClass
CUI-less	N/A	OBO:FOODON_00001093	cereal grain food product	cereal grain food product	biolink:OntologyClass
CUI-less	N/A	OBO:FOODON_00001090	sour milk beverage	sour milk beverage	biolink:OntologyClass
CUI-less	N/A	OBO:FOODON_00001091	dried milk food product	dried milk food product	biolink:OntologyClass
CUI-less	N/A	ENVO:01000615	bike	motorcycle	biolink:OntologyClass
CUI-less	N/A	ENVO:01000615	cycle	motorcycle	biolink:OntologyClass
CUI-less	N/A	ENVO:01000615	moto	motorcycle	biolink:OntologyClass
CUI-less	N/A	ENVO:01000615	motorbike	motorcycle	biolink:OntologyClass
CUI-less	N/A	ENVO:01000615	motorcycle	motorcycle	biolink:OntologyClass
CUI-less	N/A	CHEBI:82664	iron(0)	iron(0)	biolink:ChemicalSubstance
CUI-less	N/A	OBO:FOODON_00001096	fermented elaeis palm beverage	fermented elaeis palm beverage	biolink:OntologyClass
CUI-less	N/A	OBO:FOODON_00001097	fermented sugar cane beverage	fermented sugar cane beverage	biolink:OntologyClass
CUI-less	N/A	ENVO:01000616	motor scooter	motorscooter	biolink:OntologyClass
CUI-less	N/A	ENVO:01000616	scooter	motorscooter	biolink:OntologyClass
CUI-less	N/A	ENVO:01000616	motorscooter	motorscooter	biolink:OntologyClass
CUI-less	N/A	OBO:FOODON_00001094	alcoholic beverage	fermented beverage	biolink:OntologyClass
CUI-less	N/A	OBO:FOODON_00001094	fermented beverage	fermented beverage	biolink:OntologyClass
CUI-less	N/A	ENVO:01000617	lentic water body	lentic water body	biolink:OntologyClass
CUI-less	N/A	CHEBI:82663	elemental iron	elemental iron	biolink:ChemicalSubstance
CUI-less	N/A	ENVO:01000618	lotic water body	lotic water body	biolink:OntologyClass
CUI-less	N/A	CHEBI:25274	methylamines	methylamines	biolink:ChemicalSubstance
CUI-less	N/A	OBO:FOODON_00001095	fermented grape beverage	fermented grape beverage	biolink:OntologyClass
CUI-less	N/A	CHEBI:82661	diatomaceous earth	diatomaceous earth	biolink:ChemicalSubstance
CUI-less	N/A	OBO:FOODON_00001098	fermented apple	fermented apple beverage	biolink:OntologyClass
CUI-less	N/A	OBO:FOODON_00001098	fermented apple beverage	fermented apple beverage	biolink:OntologyClass
CUI-less	N/A	OBO:FOODON_00001099	apple beverage	apple beverage	biolink:OntologyClass
CUI-less	N/A	OBO:FOODON_03310226	hominy	hominy	biolink:OntologyClass
CUI-less	N/A	ENVO:01000600	rainwater	rainwater	biolink:OntologyClass
CUI-less	N/A	ENVO:01000601	motor vehicle	motor vehicle	biolink:OntologyClass
CUI-less	N/A	ENVO:01000602	lorry	truck	biolink:OntologyClass
CUI-less	N/A	ENVO:01000602	truck	truck	biolink:OntologyClass
CUI-less	N/A	ENVO:01000603	water truck	water truck	biolink:OntologyClass
CUI-less	N/A	ENVO:01000608	boat	boat	biolink:OntologyClass
CUI-less	N/A	ENVO:01000609	motorised boat	motor boat	biolink:OntologyClass
CUI-less	N/A	ENVO:01000609	motorized boat	motor boat	biolink:OntologyClass
CUI-less	N/A	ENVO:01000609	motor boat	motor boat	biolink:OntologyClass
CUI-less	N/A	ENVO:01000604	vehicle	vehicle	biolink:OntologyClass
CUI-less	N/A	ENVO:01000605	car	car	biolink:OntologyClass
CUI-less	N/A	ENVO:01000606	cart	cart	biolink:OntologyClass
CUI-less	N/A	ENVO:01000607	animal-drawn cart	animal-drawn cart	biolink:OntologyClass
CUI-less	N/A	OBO:FOODON_03400257	fruit or vegetable product (us cfr)	fruit or vegetable product (us cfr)	biolink:OntologyClass
CUI-less	N/A	CHEBI:26561	ribonucleotide	ribonucleotide	biolink:ChemicalSubstance
CUI-less	N/A	CHEBI:26562	ribose phosphate	ribose phosphate	biolink:ChemicalSubstance
CUI-less	N/A	CHEBI:49202	elemental platinum	elemental platinum	biolink:ChemicalSubstance
CUI-less	N/A	CHEBI:80043	Nodularin	Nodularin	biolink:ChemicalSubstance
