subject_category	subject_label	predicate_id	object_id	object_label	match_type	creator_id	mapping_date	subject_id
env_broad_scale	Rhizosphere	skos:relatedMatch	ENVO:00005801	rhizosphere	Lexical	https://github.com/turbomam/scoped-mapping	2021-07-07T07:24:40	env_broad_scale_env_package_normalization.EnvPackage_plant-associated:Rhizosphere
env_broad_scale	RHIZOSPHERE	skos:relatedMatch	ENVO:00005801	rhizosphere	Lexical	https://github.com/turbomam/scoped-mapping	2021-07-07T07:24:40	env_broad_scale_env_package_normalization.EnvPackage_plant-associated:RHIZOSPHERE
env_broad_scale	cropland biome	skos:relatedMatch	ENVO:01000245	cropland biome	Lexical	https://github.com/turbomam/scoped-mapping	2021-07-07T07:24:40	env_broad_scale_env_package_normalization.EnvPackage_plant-associated:cropland%20biome
env_broad_scale	agricultural field	skos:relatedMatch	ENVO:00000114	agricultural field	Lexical	https://github.com/turbomam/scoped-mapping	2021-07-07T07:24:40	env_broad_scale_env_package_normalization.EnvPackage_plant-associated:agricultural%20field
env_broad_scale	Leaf	skos:relatedMatch	PO:0025034	leaf	Lexical	https://github.com/turbomam/scoped-mapping	2021-07-07T07:24:40	env_broad_scale_env_package_normalization.EnvPackage_plant-associated:Leaf
env_broad_scale	temperate broadleaf forest	skos:relatedMatch	ENVO:01001794	temperate broadleaf forest	Lexical	https://github.com/turbomam/scoped-mapping	2021-07-07T07:24:40	env_broad_scale_env_package_normalization.EnvPackage_plant-associated:temperate%20broadleaf%20forest
env_broad_scale	terrestrial biome	skos:relatedMatch	ENVO:00000446	terrestrial biome	Lexical	https://github.com/turbomam/scoped-mapping	2021-07-07T07:24:40	env_broad_scale_env_package_normalization.EnvPackage_plant-associated:terrestrial%20biome
env_broad_scale	Temperate	skos:relatedMatch	ENVO:01000206	temperate	Lexical	https://github.com/turbomam/scoped-mapping	2021-07-07T07:24:40	env_broad_scale_env_package_normalization.EnvPackage_plant-associated:Temperate
env_broad_scale	temperate coniferous forest	skos:relatedMatch	ENVO:01000211	temperate coniferous forest biome	Lexical	https://github.com/turbomam/scoped-mapping	2021-07-07T07:24:40	env_broad_scale_env_package_normalization.EnvPackage_plant-associated:temperate%20coniferous%20forest
env_broad_scale	temperate woodland biome	skos:relatedMatch	ENVO:01000221	temperate woodland biome	Lexical	https://github.com/turbomam/scoped-mapping	2021-07-07T07:24:40	env_broad_scale_env_package_normalization.EnvPackage_plant-associated:temperate%20woodland%20biome
env_broad_scale	freshwater biome	skos:relatedMatch	ENVO:00000873	freshwater biome	Lexical	https://github.com/turbomam/scoped-mapping	2021-07-07T07:24:40	env_broad_scale_env_package_normalization.EnvPackage_plant-associated:freshwater%20biome
env_broad_scale	fresh water	skos:relatedMatch	ENVO:00002011	fresh water	Lexical	https://github.com/turbomam/scoped-mapping	2021-07-07T07:24:40	env_broad_scale_env_package_normalization.EnvPackage_plant-associated:fresh%20water
env_broad_scale	terrestrial	skos:relatedMatch	ENVO:00000446	terrestrial biome	Lexical	https://github.com/turbomam/scoped-mapping	2021-07-07T07:24:40	env_broad_scale_env_package_normalization.EnvPackage_plant-associated:terrestrial
