subject_category	subject_label	predicate_id	object_id	object_label	match_type	creator_id	mapping_date	subject_id
env_broad_scale	marine abyssal zone biome	skos:relatedMatch	ENVO:01000027	marine abyssal zone biome	Lexical	https://github.com/turbomam/scoped-mapping	2021-07-07T07:20:19	env_broad_scale_env_package_normalization.EnvPackage_sediment:marine%20abyssal%20zone%20biome
env_broad_scale	marine abyssal zone biome [ENVO:01000027]	skos:relatedMatch	ENVO:01000027	marine abyssal zone biome	Lexical	https://github.com/turbomam/scoped-mapping	2021-07-07T07:20:19	env_broad_scale_env_package_normalization.EnvPackage_sediment:marine%20abyssal%20zone%20biome%20%5BENVO%3A01000027%5D
env_broad_scale	marine biome	skos:relatedMatch	ENVO:00000447	marine biome	Lexical	https://github.com/turbomam/scoped-mapping	2021-07-07T07:20:19	env_broad_scale_env_package_normalization.EnvPackage_sediment:marine%20biome
env_broad_scale	marine biome [ENVO:00000447]	skos:relatedMatch	ENVO:00000447	marine biome	Lexical	https://github.com/turbomam/scoped-mapping	2021-07-07T07:20:19	env_broad_scale_env_package_normalization.EnvPackage_sediment:marine%20biome%20%5BENVO%3A00000447%5D
env_broad_scale	marine benthic biome	skos:relatedMatch	ENVO:01000024	marine benthic biome	Lexical	https://github.com/turbomam/scoped-mapping	2021-07-07T07:20:19	env_broad_scale_env_package_normalization.EnvPackage_sediment:marine%20benthic%20biome
env_broad_scale	marine benthic biome [ENVO:01000024]	skos:relatedMatch	ENVO:01000024	marine benthic biome	Lexical	https://github.com/turbomam/scoped-mapping	2021-07-07T07:20:19	env_broad_scale_env_package_normalization.EnvPackage_sediment:marine%20benthic%20biome%20%5BENVO%3A01000024%5D
env_broad_scale	estuarine biome	skos:relatedMatch	ENVO:01000020	estuarine biome	Lexical	https://github.com/turbomam/scoped-mapping	2021-07-07T07:20:19	env_broad_scale_env_package_normalization.EnvPackage_sediment:estuarine%20biome
env_broad_scale	freshwater biome	skos:relatedMatch	ENVO:00000873	freshwater biome	Lexical	https://github.com/turbomam/scoped-mapping	2021-07-07T07:20:19	env_broad_scale_env_package_normalization.EnvPackage_sediment:freshwater%20biome
env_broad_scale	Freshwater biome [ENVO:00000873]	skos:relatedMatch	ENVO:00000873	freshwater biome	Lexical	https://github.com/turbomam/scoped-mapping	2021-07-07T07:20:19	env_broad_scale_env_package_normalization.EnvPackage_sediment:Freshwater%20biome%20%5BENVO%3A00000873%5D
env_broad_scale	ENVO:00000881	skos:relatedMatch	ENVO:00000881	obsolete Tropical and subtropical grasslands, savannas, and shrubland biome	Lexical	https://github.com/turbomam/scoped-mapping	2021-07-07T07:20:19	env_broad_scale_env_package_normalization.EnvPackage_sediment:ENVO%3A00000881
env_broad_scale	ENVO:01000030	skos:relatedMatch	ENVO:01000030	marine hydrothermal vent biome	Lexical	https://github.com/turbomam/scoped-mapping	2021-07-07T07:20:19	env_broad_scale_env_package_normalization.EnvPackage_sediment:ENVO%3A01000030
env_broad_scale	small lake biome	skos:relatedMatch	ENVO:00000892	Small lake biome	Lexical	https://github.com/turbomam/scoped-mapping	2021-07-07T07:20:19	env_broad_scale_env_package_normalization.EnvPackage_sediment:small%20lake%20biome
env_broad_scale	Small lake biome	skos:relatedMatch	ENVO:00000892	Small lake biome	Lexical	https://github.com/turbomam/scoped-mapping	2021-07-07T07:20:19	env_broad_scale_env_package_normalization.EnvPackage_sediment:Small%20lake%20biome
env_broad_scale	Small lake biome [ENVO:00000892]	skos:relatedMatch	ENVO:00000892	Small lake biome	Lexical	https://github.com/turbomam/scoped-mapping	2021-07-07T07:20:19	env_broad_scale_env_package_normalization.EnvPackage_sediment:Small%20lake%20biome%20%5BENVO%3A00000892%5D
env_broad_scale	Estuary	skos:relatedMatch	ENVO:00000045	estuary	Lexical	https://github.com/turbomam/scoped-mapping	2021-07-07T07:20:19	env_broad_scale_env_package_normalization.EnvPackage_sediment:Estuary
env_broad_scale	urban biome	skos:relatedMatch	ENVO:01000249	urban biome	Lexical	https://github.com/turbomam/scoped-mapping	2021-07-07T07:20:19	env_broad_scale_env_package_normalization.EnvPackage_sediment:urban%20biome
