subject_category	subject_label	predicate_id	object_id	object_label	match_type	creator_id	mapping_date	subject_id
env_local_scale	marine oligotrophic desert	skos:relatedMatch	ENVO:01000073	marine oligotrophic desert	Lexical	https://github.com/turbomam/scoped-mapping	2021-07-07T07:40:11	env_local_scale_env_package_normalization.EnvPackage_sediment:marine%20oligotrophic%20desert
env_local_scale	estuarine mud	skos:relatedMatch	ENVO:00002160	estuarine mud	Lexical	https://github.com/turbomam/scoped-mapping	2021-07-07T07:40:11	env_local_scale_env_package_normalization.EnvPackage_sediment:estuarine%20mud
env_local_scale	marine benthic feature [ENVO:01000105]	skos:relatedMatch	ENVO:01000105	marine benthic feature	Lexical	https://github.com/turbomam/scoped-mapping	2021-07-07T07:40:11	env_local_scale_env_package_normalization.EnvPackage_sediment:marine%20benthic%20feature%20%5BENVO%3A01000105%5D
env_local_scale	marine benthic feature	skos:relatedMatch	ENVO:01000105	marine benthic feature	Lexical	https://github.com/turbomam/scoped-mapping	2021-07-07T07:40:11	env_local_scale_env_package_normalization.EnvPackage_sediment:marine%20benthic%20feature
env_local_scale	Oligotrophic	skos:relatedMatch	ENVO:01000774	oligotrophic lake	Lexical	https://github.com/turbomam/scoped-mapping	2021-07-07T07:40:11	env_local_scale_env_package_normalization.EnvPackage_sediment:Oligotrophic
env_local_scale	coastal zone	skos:relatedMatch	ENVO:00000316	intertidal zone	Lexical	https://github.com/turbomam/scoped-mapping	2021-07-07T07:40:11	env_local_scale_env_package_normalization.EnvPackage_sediment:coastal%20zone
env_local_scale	ENVO:00002022	skos:relatedMatch	ENVO:00002022	obsolete alkaline habitat	Lexical	https://github.com/turbomam/scoped-mapping	2021-07-07T07:40:11	env_local_scale_env_package_normalization.EnvPackage_sediment:ENVO%3A00002022
env_local_scale	ENVO:01000122	skos:relatedMatch	ENVO:01000122	marine hydrothermal vent	Lexical	https://github.com/turbomam/scoped-mapping	2021-07-07T07:40:11	env_local_scale_env_package_normalization.EnvPackage_sediment:ENVO%3A01000122
env_local_scale	[ENVO:02000049]	skos:relatedMatch	ENVO:02000049	coastal water body	Lexical	https://github.com/turbomam/scoped-mapping	2021-07-07T07:40:11	env_local_scale_env_package_normalization.EnvPackage_sediment:%5BENVO%3A02000049%5D
env_local_scale	lake	skos:relatedMatch	ENVO:00000020	lake	Lexical	https://github.com/turbomam/scoped-mapping	2021-07-07T07:40:11	env_local_scale_env_package_normalization.EnvPackage_sediment:lake
env_local_scale	marine sediment	skos:relatedMatch	ENVO:03000033	marine sediment	Lexical	https://github.com/turbomam/scoped-mapping	2021-07-07T07:40:11	env_local_scale_env_package_normalization.EnvPackage_sediment:marine%20sediment
env_local_scale	marine sediment [ENVO:03000033]	skos:relatedMatch	ENVO:03000033	marine sediment	Lexical	https://github.com/turbomam/scoped-mapping	2021-07-07T07:40:11	env_local_scale_env_package_normalization.EnvPackage_sediment:marine%20sediment%20%5BENVO%3A03000033%5D
env_local_scale	sediment	skos:relatedMatch	ENVO:00002007	sediment	Lexical	https://github.com/turbomam/scoped-mapping	2021-07-07T07:40:11	env_local_scale_env_package_normalization.EnvPackage_sediment:sediment
env_local_scale	Sediment	skos:relatedMatch	ENVO:00002007	sediment	Lexical	https://github.com/turbomam/scoped-mapping	2021-07-07T07:40:11	env_local_scale_env_package_normalization.EnvPackage_sediment:Sediment
env_local_scale	research facility	skos:relatedMatch	ENVO:00000469	research facility	Lexical	https://github.com/turbomam/scoped-mapping	2021-07-07T07:40:11	env_local_scale_env_package_normalization.EnvPackage_sediment:research%20facility
env_local_scale	saline pan	skos:relatedMatch	ENVO:00000279	saline pan	Lexical	https://github.com/turbomam/scoped-mapping	2021-07-07T07:40:11	env_local_scale_env_package_normalization.EnvPackage_sediment:saline%20pan
env_local_scale	River	skos:relatedMatch	ENVO:00000022	river	Lexical	https://github.com/turbomam/scoped-mapping	2021-07-07T07:40:11	env_local_scale_env_package_normalization.EnvPackage_sediment:River
env_local_scale	river	skos:relatedMatch	ENVO:00000022	river	Lexical	https://github.com/turbomam/scoped-mapping	2021-07-07T07:40:11	env_local_scale_env_package_normalization.EnvPackage_sediment:river
env_local_scale	stream	skos:relatedMatch	ENVO:00000023	stream	Lexical	https://github.com/turbomam/scoped-mapping	2021-07-07T07:40:11	env_local_scale_env_package_normalization.EnvPackage_sediment:stream
env_local_scale	reef	skos:relatedMatch	ENVO:00000130	rocky reef	Lexical	https://github.com/turbomam/scoped-mapping	2021-07-07T07:40:11	env_local_scale_env_package_normalization.EnvPackage_sediment:reef
env_local_scale	contaminated sediment	skos:relatedMatch	ENVO:00002114	contaminated sediment	Lexical	https://github.com/turbomam/scoped-mapping	2021-07-07T07:40:11	env_local_scale_env_package_normalization.EnvPackage_sediment:contaminated%20sediment
env_local_scale	continental shelf	skos:relatedMatch	ENVO:00000223	continental shelf	Lexical	https://github.com/turbomam/scoped-mapping	2021-07-07T07:40:11	env_local_scale_env_package_normalization.EnvPackage_sediment:continental%20shelf
env_local_scale	enrichment culture	skos:relatedMatch	NCBITaxon:1566338	enrichment culture	Lexical	https://github.com/turbomam/scoped-mapping	2021-07-07T07:40:11	env_local_scale_env_package_normalization.EnvPackage_sediment:enrichment%20culture
env_local_scale	fresh water	skos:relatedMatch	ENVO:00002011	fresh water	Lexical	https://github.com/turbomam/scoped-mapping	2021-07-07T07:40:11	env_local_scale_env_package_normalization.EnvPackage_sediment:fresh%20water
env_local_scale	lake sediment	skos:relatedMatch	ENVO:00000546	lake sediment	Lexical	https://github.com/turbomam/scoped-mapping	2021-07-07T07:40:11	env_local_scale_env_package_normalization.EnvPackage_sediment:lake%20sediment
env_local_scale	deep marine sediments	skos:relatedMatch	ENVO:00002113	deep marine sediment	Lexical	https://github.com/turbomam/scoped-mapping	2021-07-07T07:40:11	env_local_scale_env_package_normalization.EnvPackage_sediment:deep%20marine%20sediments
env_local_scale	coast	skos:relatedMatch	ENVO:01000687	coast	Lexical	https://github.com/turbomam/scoped-mapping	2021-07-07T07:40:11	env_local_scale_env_package_normalization.EnvPackage_sediment:coast
env_local_scale	lagoon	skos:relatedMatch	ENVO:00000038	lagoon	Lexical	https://github.com/turbomam/scoped-mapping	2021-07-07T07:40:11	env_local_scale_env_package_normalization.EnvPackage_sediment:lagoon
env_local_scale	sand	skos:relatedMatch	ENVO:01000017	sand	Lexical	https://github.com/turbomam/scoped-mapping	2021-07-07T07:40:11	env_local_scale_env_package_normalization.EnvPackage_sediment:sand
env_local_scale	abyssal plain	skos:relatedMatch	ENVO:00000244	abyssal plain	Lexical	https://github.com/turbomam/scoped-mapping	2021-07-07T07:40:11	env_local_scale_env_package_normalization.EnvPackage_sediment:abyssal%20plain
