attribute	harmonized
collection date	collection_date
estimated_size	estimated_size
host	host
lat_lon	lat_lon
biome	env_broad_scale
feature	env_local_scale
investigation_type	investigation_type
host taxid	host_taxid
project_name	project_name
geo_loc_name	geo_loc_name
source_mat_id	source_material_id
material	env_medium
ref_biomaterial	ref_biomaterial
num_replicons	num_replicons
isol_growth_condt	isol_growth_condt
env_package	env_package
strain	strain
isolation-source	isolation_source
culture-collection	culture_collection
sub_species	sub_species
specific host	host
investigation type	investigation_type
environmental package	env_package
subsrc_note	subsrc_note
sex	sex
developmental stage	dev_stage
Salinity	salinity
Temperature	temp
Nitrate	nitrate
Phosphate	phosphate
collection_date	collection_date
clone-lib	clone_lib
Strain	strain
depth	depth
substrain	substrain
cultivar	cultivar
nat-host	host
collection-date	collection_date
country	geo_loc_name
lat lon	lat_lon
tissue	tissue
population	population
Family ID	family_id
Relationship	family_relationship
Super Population Code	super_population_code
Population Description	population_description
Super Population Description	super_population_description
culture_collection	culture_collection
family_id	family_id
bio_material	bio_material
isolate	isolate
tissue-type	tissue
sample_type	sample_type
biotic_relationship	biotic_relationship
Diseases	disease
rel_to_oxygen	rel_to_oxygen
trophic_level	trophic_level
biovar	biovar
STRAIN	strain
cell-line	cell_line
ecotype	ecotype
Sex	sex
env_biome	env_broad_scale
env_feature	env_local_scale
env_material	env_medium
isolation_source	isolation_source
salinity	salinity
temperature	temp
Age	age
Collection Year	collection_date
Geographic Origin	geo_loc_name
cell_line	cell_line
Sample name	sample_name
geographic location (country and/or sea,region)	geo_loc_name
isolation source	isolation_source
serovar	serovar
environment (biome)	env_broad_scale
environment (feature)	env_local_scale
environment (material)	env_medium
orgmod_note	orgmod_note
geographic location (country and/or sea, region)	geo_loc_name
relationship	family_relationship
cell line	cell_line
variety	variety
host sex	host_sex
Type Strain	type_strain
Host Name	host
age	age
gender	sex
genotype	genotype
biomaterial provider	biomaterial_provider
cell type	cell_type
treatment	treatment
teleomorph	teleomorph
morphology	morphology
development stage	dev_stage
lat-lon	lat_lon
specific-host	host
Source of Isolate	isolation_source
Depth	depth
Dissolved Oxygen	diss_oxygen
pH	ph
Turbidity	turbidity
Chlorophyll	chlorophyll
Ammonium	ammonium
Silicate	silicate
Fluorescence	fluor
Oxygen	oxygen
collected_by	collected_by
breed	breed
developmental_stage	dev_stage
sample_name	sample_name
pathovar	pathovar
geographic location	geo_loc_name
DISEASE	disease
BIOMATERIAL_PROVIDER	biomaterial_provider
SEX	sex
body_site	tissue
source_name	source_name
GENDER	sex
AGE	age
cell-type	cell_type
totn	tot_nitro
conductivity	conduc
Total Nitrogen	tot_nitro
Total Phosphorus	tot_phosp
Density	density
Alkalinity	alkalinity
Chloride	chloride
Dissolved Organic Carbon	diss_org_carb
geographic_location	geo_loc_name
methane	methane
sulfate	sulfate
chloride	chloride
Humidity	humidity
organic matter	org_matter
Wind Speed	wind_speed
Pressure	pressure
Air Temperature	air_temp
dev_stage	dev_stage
biomaterial_provider	biomaterial_provider
Phaeopigments	phaeopigments
bacterial_production	bac_prod
