36	5378.0
2	0.6-0.5
10	125-150 cm
1	167 cm
33	42
1	N40.1164_W88.2543
1	3.149
1	1523.63
1	4862
1	285m
6	38.5
434	4000m
7	0-21 cm
2	30-60cm replicate6
3	24-28 cm
3	13.036
1	N40.1164_W88.2785
1	1012m
1	25 santimeters
1	1048-1148 m
2	1168
1	N40.1164_W88.2849
1	1501
33	0 – 20 cm
1	90.1
6	42 cm
73	0-4 cm
1	60-80
16	1800, 1800
10	64
1	1.34
35	8.1
5	10-15
1	3-5 meters
55	1-3 m
2	0.21 m
5	0.32-0.35
1	30ft
31	0.00-0.20
1	4287 m
44	10-30 cm
1	2240.5 m
1	1073.00
1	20.156
47	#N/A
1	not collected 10
15	89.9m
2	80.6 m
1	3.807
1	764cmbsf
2	4338
1	100.658 m
1	45 ft
1	N40.1164_W88.2751
2	104 m - 108 m
2	0.153 m
1	N40.1164_W88.2474
1	24.30 mbsf
2	0.457 m
2	5m, 32m, 70m, 110m, 200m, 320m, 1000m
1	0 msl
1	300-600 m
8	~20m
1	7 mile
3	~2m
2	1,08
1	0.80
1	N40.1164_W88.2550
9	2.1-4.9 meters below ground surface
3	2065.9
1	7750
1	1077
6	15.1cm
1	N40.1164_W88.2488
4	5-10cm 2
5	380m-200m
3	22.9
1	104 cm
6	1.15
1	N40.1164_W88.2853
1	-1180
1	105.795
1	24.03 mbsf
3	3900
1	0-0.136
426	25
9	Surface soil from deep water
3	0 m water depth
2	8to10cm
7	1.5-2m
1	2,327m
214	0-0.05 m
1	49.6
1	1.54
1	0-1 mm
1	3032
1	1935.4
2	3.5-m
3	170 m below ground surface
3	146-200 mbsf
36	20 centimeters below ground
1	100meters_2
6	770m
1	29.20
1	22-37
5	173
2	183.8m
1	820 m
1	N40.1164_W88.2858
4	3200m
12	828
1	460-461cm
1	Metamorph4 (19dpf) biological replicate 3
1	86.4m
1	48-62 cm
1	79.069
1	406.96
1	subsurface soil
1	1920.8 m
1	3770 m
1	N40.1164_W88.2505
50	0.152
1	1964.5
1	3439
1	10-18cm
1	N40.1164_W88.2598
1	110-115
1	64.10
1	383 m
21	0.03-0.05
2	10000
7	353
1	N40.1164_W88.2864
1	111.6
2	498.8
3	1230
1	5598
2	3120
4	1.01
2	-4001 m
1	113.967
2	1175
6	174
1	N40.1164_W88.2950
12	5249.0
14	15 ft
1	2.74
3	13.3
1	9.9991
1	2.069
10	277
1	N40.1164_W88.2908
1	15-19
9	797
91	4152.0
95	B.003
1	4999
1	115.14
3	4374 m
46	65m
1	0_32cm
1	3.245
8	0.4m
69	115
4	16-18 cm
1	2000 M
229	0.4
4	1.48
1	2 - 11
1	228 m
23	0.063 m
8	12.19
1	3.438
3	10525
1	2-4
7	9.5 m
5	0.072
1	74.8
1	49.826 m
1	0-0.22
6	1030
1	8.14 m
24	A and O from 0-5 cm
2	4200.0
1	0.2023
1	0-22 cm from soil surface
47	9-10 cm, inland
1	2085.2
1	-113
332	5-20 cm
2	4.57 m
1	200.877 m
1	4355
1	290 mm from bottom of the CEPBR
2	0-26
1	10 cm depth of surface sediment sample
1	N40.1164_W88.2945
1	190 cmbsf
1	228m
1	N40.1164_W88.2757
2	2967
1	1600m
3	1.47
6	0.085 m
1	N40.1164_W88.2790
1	1178m
76	0-7 cm
2	6to7cm
1	200.2 m
1	10-20cm-22
1	46.5 m
1	less than 50 m
1	8.40
1	17.65
1	1.0 cm below sediment surface at HU952
2	Periphyton
3	61.0
61393	0
1	5-cm94
1	29.414
2	4651
5	2902 m
2	5450m
2	0,15
133	23
2	22to24cm
1	5.899502
2	417.9
1	2822 m
4	21m
30	34
1	Center
8	0.046 m
2	46 cm
2	2865 m
1	N40.1164_W88.2680
1	Nil
1	31 mbsf
1	23- 213m
1	N40.1164_W88.2766
23	7831.5
1	0-0.34
1	0-11 cm
3	6.1m
10	327
1	134.6
1	5-cm131
1	1398.5m
1	711-831 m
2	0.74
60	30-45 cm
12	4360.0
1	0.010
2	375 cm
1	Soil sediment
246	0..2cm
239	6 m
1	706 m
1	59 m
1	5-cm162
1	1515 m
1	0.77
1	39.7m
3	390 m
6	67 mbsf
8	5000 m
1	36-39 cm
1	1.0 M
1	15.244 m
1	N40.1164_W88.2517
2	28.2 m below ground
1	150m below surface
1	0.2-0.9
2	1978
1	0-36
1	8.16
1	6.604024
1	20 (3 um)
1	132.8
1	0-0.129
72	4234.0
2	-1.1 km
1	197 m
1	1855 m
1	58965
1	N40.1164_W88.2611
1	2.01 m
1	N40.1164_W88.2956
1	N40.1164_W88.2572
2	1004 m
1	a depth of 17 m water
1867	0m
2	403m
1	0-10cm-26
1	472
1	56.4 m
1	N40.1164_W88.2861
6	54cm
1	4-m
2	54 m
1	N40.1164_W88.2992
1	32.0
1	29.90
4	top sediment
2	117 m
4	3626
75	3-5 m
1	60.7 mbsf
1	5-cm76
1	71.361
2	13.8
1	-19 cm
8	0.44
1	20 cm beneath water column
2	2043.3 m
1	49.59233 m
70	0.6m
1	26.9m
1	10-20cm-26
1	15-25 cm
1	30?36
83	30 m
1	74.376 m
3	495
107	0-0.03
2	100.4
1	N40.1164_W88.2971
2	629
1	60.1
1	4.72 mbsf
1	N40.1164_W88.2752
1	695 m
1	2807 m
1	380m-600m
1	154.5 cm
25	350 m
3	228
2	41.4
1	N40.1164_W88.2677
1	4580 m
1	0.35-0.4
1	25 sm
1	3100 m
1	582.5
3	11.916
1	-205
1	N40.1164_W88.2739
1	142
1	2146 m
3	86m
15	84
1	579 cm
27	5.6
1	61.4
1	15 m.
1	2048
22	31
2	500.1
2	16to18cm
3	13.969
6	4467.6
1	17.26 mbsf
1	22-34 mm (sample depth)
1	2.627
1	0_24cm
1	2061.6
2	17.8 m
3	2930
1	5-cm5
1395	2 m
5	49 m
10	299
2	75 cmbsf
3	1210
2	152.1 m
1	2006.9 m
9	150-175 cm
1	-2573
1	18.364
94	175
12	5771.0
1	~4000m
1	100.0107 m
1	50.05 mbsf
1	-682
1	N40.1164_W88.2809
1	N40.1164_W88.2434
1	652 m
1	628
1	350.52
136	Deep
1	400-600um
8	150cm
1	3359.0
1	400.8
26	175m
2	30.8
8	-19
1	1.0 cm below sediment surface at MI40
14	25-30cm
5	1.50
14	0.7 m
1	2388m
2	473
1	N40.1164_W88.2695
4	3505
1	5-cm7
1	1650.00
1	N40.1164_W88.2825
1	10.30-1031
1	N40.1164_W88.2784
1	10257
1	N40.1164_W88.2583
17	3-20m
1	5-cm124
1	1090
1	6.38
2	1582
6	0.64
1	451 m
1	1226m
7	28m
1	200.205 m
24	4869.0
1	769
7	0.33
4	738
1	2.344
1	1.6m
2	21.1
1	3-4m
3	86 m
1	258-259cm
113	bottom
2	633.5
2	1049
1	5-cm38
2	2600m
2	2.58m
2	1900.8
1	6.243221
281	intertidal
1	15 cm below surface water
1	1875
22	0.101
3	200.831
1	79.534
1	&lt; 1 meter
1	1935.9
1	400.2 mbsf
1	-0.20
2	2125
27	37cm
1	859 m
4	142 m
1	3.7 m below ground
2	5 to 12 cm
4	2415m
4	40mm from surface
1	565
1	5-31 cm
81	8063.3
2	6.34 m
1	3958
1	466.6
10	0-100cm
1	63.9
1	878
4	0.04-0.07
101	6.5
2	3050 m
3323	20 cm
1	19.82
2	4800
1	1271
4	140cm
8	stone surface-0cm
1	Synthetic mixture of yeast species
1	-2770
1	1.34 km
1	0_22cm
1	54.964
14	41.5
1	6.65 mbsf
1	570m
1	5 - 90
37	0.05-0.15
1	7498
1	3.468
2	93m
2	0.19 m
4	65cm
1	138 cm
1	0-13 cm from soil surface
13	2763 m
1	33.7
3	5577 m
1	8.41
2	177m
6	1693 m
2	2.052
8	311
18	3718
1	1826.59
3	1489
