620664	missing
175712	not applicable
156505	Missing
155806	not collected
56197	NA
21539	N/A
14578	40.7641 N 73.9568 W
12778	Not collected
12634	Not applicable
9716	55.740813 N 12.544197 E
9122	42.36 N 71.06 W
7156	30.3 N 120.2 E
5549	52.3061 N 4.6907 E
5110	42.0308 N 93.6319 W
4908	unknown
4734	Not Collected
4265	40.44 N 79.97 W
3863	52.1718 N 106.5052 W
3836	Not Applicable
3663	44.9847 N 93.1819 W
3632	Unknown
3528	59.91 N 10.75 E
3446	39.5369 N 107.7828 W
3355	na
3280	40.436828600 N 79.960688000 W
3194	27.4698 S 153.0251 E
3175	31.2532 S 146.9211 E
3067	33.6 N 130.5 E
3034	35.670 N 78.498 W
3027	31.9505 S 115.8605 E
2980	44.588 N 123.193 W
2881	40.4308 N 79.9598 W
2853	42.28 N 83.73 W
2693	29.6483 S 30.3318 E
2647	29.77152983140312 N 95.22124444140627 W
2643	not available
2636	37.441883 N 122.143019 W
2550	42.9607 N 85.4955 W
2476	27.43 S 48.45 W
2463	38.984652 N 77.094709 W
2208	30.16 N 120.12 E
2117	39.2904 N 76.6122 W
2044	38.934159 N 92.336876 W
2037	52? 04? N, 5? 45? E
2022	31.99 N 34.82 E
2013	44.433 S 169.261 E
1995	10.52 N 0.49 W
1985	37 N 122 W
1977	50.82 N 0.12 W
1964	29.710689 N 95.400586 W
1961	Not Recorded
1954	31.22 N 121.48 E
1932	33 N 117 W
1872	42.28 N 83.74 W
1812	34.05 N 118.24 W
1787	35.0749 N 135.4710 E
1766	42 N 70 W
1702	38.150484 S 144.366141 E
1696	42.410784 N 85.372948 W
1682	12 S 77 W
1642	48.2544 N 16.4317 E
1640	10.82 N 106.63 E
1627	44.04 N 93.33 W
1600	41.6032 N 73.0877 W
1594	44.0234 N 92.46295 W
1548	39.0458 N 76.6413 W
1520	14.53588:32.62781_-117.06583:-86.73105
1488	34.971 N 135.960 E
1483	41.73 N 72.79 W
1470	52.11 N 79.17 E
1460	15.817640 N 78.042717 E
1444	22.75 N 158 W
1425	40.80 N 73.96 W
1422	not determined
1399	40.4406 N 79.9959 W
1378	49.15 N 123.7 W
1327	36.6008 N 119.5109 W
1324	40.9006 S 174.8860 E
1321	51.05 N 3.72 E
1312	51.8820 N 8.5107 W
1302	29.763055555555557 N 95.36305555555555 W
1298	32.067224 S 115.830063 E
1297	47.566345 N 7.601976 E
