38	Wht
4	Missing
1	Egyptian
5	Other: Puerto Rican
176	BLACK OR AFRICAN AMERICAN
1	20.2
4	Unavailable
36	East Indian
1	ECO-JSC-ESB-101505
15	morrilli
58	Chinese Han
38509	Caucasian
372	Not applicable
12	HISPANIC
11	Black or African American; White
165	not available
545	Black or African American
1241	African American
4215	Chinese
67	N/A
1	Asian;Other
8	arab
1	4.52
1	non-specified
5	human
37	Japanese
56	asian
1	American Indian or Alaskan Native
1	ECO-JSC-ESB-101226
1	ECO-JSC-ESB-101513
421	NHW
2	5
1	American_Indian_Alaskan_Native
1	No Known
47	B
110	mongolian
1	African/American
31	Asian-Japanese
2	Caucassian
150	Unknown
188	White or Caucasian
2	not reported
2	Peruvian
3	AI/AN
1	refused
198	netherlands
2	Asian/Caucasian
126	American Indian or Alaska Native; White
32	NB
1	Gujarati
48	CaucH
2133	Black
1	White/American
3	Patient Refused
3	Hispanic-Latino
146	Indian
1	Race Unknown
10	Not Specified
1	Hispanic, Filipino
16	n/a
18	Not Hispanic/Latino
1	Choose not to answer
11	Han Chinese
238	CAUC
3	all
1	American or Alaskan Native
3	W/Asian
1	African-Caribbean
3	NatAm
7	Gypsy
62	yellow race
13	Not available
385	AA
2	Han individuals
281	Unspecified
16	H
21	UNK
804	not applicable
20	American Indian or Alaska Native
1	Sinhalese
13	AS
8	White; Asian
12	AmericanIndian
2	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16352
199	Hispanic/Latino
66	yellow
474	Korean
1	Pacific Islander / Asian
2058	WHITE
212	American Indian
1	15
8	UNKNOWN
2	Chinese Han ethnicity
2	pardo
2	East Asian- China
23	Cauc
1	Hawaiin or Pac Islander
2	AMIndian/AlaskaNativ
1	Maasai
1	Yorubian
2	Other Pacific Islander;White or Caucasian
2	Hispanic/Columbian
229	ASIAN
2	Bruneian
258	More than one race
151	Asian-Chinese
18	southern european
1	Tibetan individuals
29	white/not hispanic
2	8.06
1	hispanic/latino
34	Black/African American
95	african
70	South Asian
21	asia
7	Blk
149	OTHER
4	NR
77	Chinese Tibetan
28	Asiatic Indian
26	White, Not Hispanic
17	Missing: Restricted access
1	2
480	CaucNH
5	Black_or_African_American
1	Middle Eastern
1	3.79
1	Heliconius melpomene rosina
144	White/Caucasian
1863	Other
2	Multiple Race
113	Asia
706	Hispanic
1	Asian Indian
1	13.6
59	Non-Hispanic white
2	Indian/Alaska Native
6	SEAsian
1	45.2
2	Esan
10	White, not hispanic
4	Unknown or Not Reported
3	not-collected
28	Black/African-American
211	black
1	H/L
1	130
1	8.91
15	frisona
1	cell line
1	22
2	European
1	0.21
3	c
26	black/African American
24	CAU
466	C
1	Tuscan
34	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C41261
1	8.49
106	White; White
22	Missing: Not collected
2	7
2	More than One Race
416	Mongoloid
13214	White
1	Caucasian/American Indian or Alaska Native
1	aisa
1	Mappila
10	HISP
81	Caucasian / White
1	4
294	Not provided
397	-
319	African-American
28	Thai
760	other
1140	Asian or Pacific Islander
330	not collected
2	More_Than_One_Race
48	Caucasion
3	Native Hawaiian or Other Pacific Islander
2	cell culture
1	Heliconius melpomene melpomene
7	Bermuda
7	Other: Dominican
1	5.15
2	Unkn
12	Han
11	Latino/Hispanic
28	African american
21	chinese
38	Malay
172	1
9	American Indian orAlaskaNative
1	Arabic
1	American Indian/Alaskan native
1	3.15
3	More Than One Race
1336	W
9	BLACK
9	African
10	Black / African American
2293	Asian
4	Mixed Race
1	from Bangladesh
25	east_asian
1	Mende of Sierra Leone
2	Mixed
1556	caucasian
1	Polynesian
488	hispanic
128	CAUCASIAN
2	East Asian - Korea
3	blank
687	NA
1	27.9
5	Native American
114	Asian-Unspecified
1	Amerindian
102	na
3	Not Known
1	Yemeni
1	11.8
30	CEU
1	Asian, Other
8	Multiracial
10	Han, Chinese
25	East Asian
1	ECO-LHI-LHR-100319
6	White; American Indian or Alaska Native
1	Utah/Mormon
48	Afrodescendant
10	White; Other
2	no data
2	Latino
1	Orang Asli
112	European-American
4	Arab
942	white
3	island
457	missing
1	PUERTO RICAN
59	White Caucasian
9	Kenyan
24	Decline
12	ND
2	American.Indian
1	4.06
21	--
1	Unable to Obtain
1	indian
1	caucassian
10	africanamerican
4	Asian; White
1	5.6
3	AfrAm
2	Vietnamese
107	unknown
29	Mixed ancestry
6	Filipino
371	Missing: Not provided
32	Not Reported
145	Pacific Islander
