168	SoilD
40	L
3	Meadow dirt- high organic carbon content
19	mollisol
12	Rhizosphere soil of cucumber planted in rice soil
1	VT locations: cabot very stoney silt loams; NH locations: skerry fine sandy loams
45	Dystric cambisol
35	silty clay
1266	M21
3	Loam over clay over limestone
1	Soil is loose, very dry.
4	Langford
5	silty loam
21	Medium Soil
24	Mollic Psammaquent
210	Eluviated dystric brunisol
7	Peat
16	mixed microbial soil
48	clay acrisol
5	Williamson
523	Cambisol
1	Wet , clay like
176	fine mixed thermic Cumulic Haplustoll
708	silt loam (2-4% slopes; fine-silty, mixed, superactive, mesic mollic oxyaquic hapludalf)
2	Volusia
3	Entic Cryandept
1	Wet soil
8	Clay loamy endogleyic-Fe-leachic-stagnic anthrosol
60	Luvic-Phaeozem
16	control (sterilized) soil
8	Organic Soil
214	Udalfs
3	deep sandy loam (top soil) 30cm, med-heavy clay (80-100cm)
32	Leaf litter residuum
72	Typic Ustivitrands
1	Dry, hard to collect
6	Original rice soil
1	7
94	Lush serpentine
52	Arenic-Luvisol
336	Rozetta silt loam
5	rhizosphere soil of potato plant with high common scab severity level
13	Clay
265	desert
52	black earth
1	native wetland
28	Calcisol
9	Histic Epiaquands
4	Portneuf silt loam
21	"CA"
3	Pe+LTNDT M1P1 Lab
4	Lordstown
2	agricultural soil
5	geocaulosphere soil of potato plant with high common scab severity level
34	cambisol
118	Sand
19	Mountain-meadow sod-peaty
268	sandy loam
211	Coarse-loamy.mixed.active.mesic_Typic_Dystrudepts
86	Harsh serpentine
3	Thick sand over clay
24	continuous cropping soil
10	-
15	BRR
67	loamy sand
1	Dry, rocky and ashy. Dark, greyish brown color. Lots of straw/branches/woodchips piled on top. Dirt clumps up.
76	Chernozem
3	LTNDT N1P2K2 Field
90	Maury silt loam
1	PEAT
4	eutric endostagnic cambisol
14	Broun Forest soil
1	temperate deciduous forest soil
12	Rhinebeck silt loam
80	phaeozems
170	Arensols and Luvisols
72	loam Acrisol with long periods of stagnating water
3	Red/Brown earth
10	Loam
27	Sandy_loam
6	Rhizosphere soil of celery planted in forest soil
1	Loamy soil
21	silt
3	Sandy Loam
35	Silt
3	healthy soil
1	boreal coniferous forest soil
2	spodosol
120	sandy clay loam
1	compost
6	Houston
2	Eckert series, thermic Lithic Haplustolls, Mollisol
38	Sandy_Loam
24	Haplic Planosol
81	Mollisol
4	entisol
3	LTNDT M1P1 Field
24	Rhizo
3	LTNDT N1K1 Field
1	Pandale series, thermic Ustic Haplocalcids, Aridisol
10	oxisol
34	Stagnosol
227	alfisol
1	Wet, clay like
1	wilt disease soil
47	Shady
73	Rich Lake
1	Eckrant series, thermic Lithic Haplustolls, Mollisol
9	"ST"
23	pristine peat soil
222	Luvisol WRB
4	Sandy loam
6	Hudson silt loam
96	Loring B2 series
1	wetland soil
12	Rhizosphere soil of watermelon planted in forest soil
15	BB
78	histosol
1	Chenango
36	Mountain-meadow soddy
18	Black soil
18	Podzol soil
9	Gray lowland soil
1	dry/arid
28	loam
1	retired cropland
3	Typic Vitrandept
72	Ultic Hapludalf/Typic Fragiudult
1632	pine_forest
16	monomicrobial soil
4	gelisol
17	inceptisol
1	garden soil
3	LTNDT N2P2K2 Lab
5	andisol
84	Non-serpentine
6	Bath
1	dark brown, ashy, rocky, fine
3	Loam over red clay
1	Rocky, fine
5	Podzol
3	Shallow top soil- red clay/Limestone
124	Sandy
3	Bubbly loam
3	Pe+LTNDT M1P1 Field
3	Deep Friable Gradational clay loam
3	Dry soil
1	38years reclaimed land
24	sand
5	ultisol
1149	Luvisol
1	sandy clay
54	Typic Argiudoll
3	High sand sandy loam over yellow/red clay
6	Poor Lake
1	eutrophic
36	Forest Soil
47	loam acrisol
3	Sandy loam over blocky clay
60	Chromic Luvisol
2	Kendaia
3	Typic Haplohumult
2	tundra soil
24	Acrisol
6	Rendzina
300	not collected
5	root-zone soil of potato plant with low common scab severity level
9	Ferric-Udic Cambisols
19	3
296	Bulk
9	Upper Scarp Complex
27	Entic Haplustoll
