hn	count
collection_date	6315109
estimated_size	120850
host	4298771
lat_lon	3865597
env_broad_scale	2188997
env_local_scale	2128596
investigation_type	678591
host_taxid	254012
project_name	917173
geo_loc_name	7062603
source_material_id	293435
env_medium	2125737
ref_biomaterial	207601
num_replicons	191919
isol_growth_condt	361844
env_package	255859
strain	3089131
isolation_source	3699188
culture_collection	84270
sub_species	404189
subsrc_note	12525
sex	7464166
dev_stage	1281113
salinity	34622
temp	155293
nitrate	21496
phosphate	19862
clone_lib	74
depth	472947
substrain	26923
cultivar	728713
tissue	6956510
population	126853
family_id	41626
family_relationship	28013
super_population_code	3372
population_description	2621
super_population_description	2583
bio_material	18788
isolate	3033450
sample_type	1108900
biotic_relationship	25048
disease	522469
rel_to_oxygen	87792
trophic_level	6937
biovar	2053
cell_line	537810
ecotype	594503
age	2192706
sample_name	4218305
serovar	380916
orgmod_note	3947
variety	23579
host_sex	999850
type_strain	1455
genotype	899515
biomaterial_provider	802269
cell_type	1160198
treatment	656295
teleomorph	963
morphology	2840
diss_oxygen	13739
ph	96681
turbidity	1376
chlorophyll	12140
ammonium	16466
silicate	8931
fluor	2688
oxygen	15669
collected_by	1574065
breed	371158
pathovar	4565
source_name	2218622
tot_nitro	22788
conduc	11116
tot_phosp	5323
density	7355
alkalinity	5707
chloride	10244
diss_org_carb	11173
methane	6728
sulfate	13932
humidity	286
org_matter	6054
wind_speed	710
pressure	4035
air_temp	11514
phaeopigments	1773
bac_prod	916
diss_inorg_carb	7168
diss_org_nitro	2649
specimen_voucher	129732
gap_accession	5515365
submitter_handle	5515365
biospecimen_repository	5515365
study_name	5516744
biospecimen_repository_sample_id	5515335
submitted_sample_id	5515343
submitted_subject_id	5515337
gap_sample_id	5515335
gap_subject_id	5515335
histological_type	1685799
subject_is_affected	2749957
gap_consent_code	4645353
gap_consent_short_name	4630063
host_age	540216
dominant_hand	33809
compound	30097
elev	426779
description	974764
org_carb	6149
org_nitro	2577
organism_count	24546
oxy_stat_samp	12931
tot_depth_water_col	4142
samp_collect_device	243929
samp_mat_process	165641
samp_size	189968
collection_method	155896
phenotype	318476
study_design	4740252
analyte_type	4817926
is_tumor	2566858
host_disease	1094883
subclone	431
experimental_factor	22282
ploidy	130013
component_organism	7892
karyotype	15255
dose	16275
body_product	93770
samp_store_temp	78671
label	61774
pregnancy	2180
serogroup	1828
forma	405
serotype	55200
host_subject_id	945297
race	103527
study_disease	1168773
molecular_data_type	2445574
pathogenicity	3934
host_health_state	579057
annual_season_precpt	14976
nitrite	9978
calcium	9924
heavy_metals_meth	662
potassium	8784
redox_potential	3573
body_habitat	81397
soil_type	22834
ethnicity	121447
antibiotic_regm	1849
disease_stage	74144
special_diet	2587
substrate	5170
water_content_soil	11787
store_cond	34132
subtype	31895
body_mass_index	73905
growth_protocol	47679
