Name	DisplayName	ShortName	EnvPackage	EnvPackageDisplay	NotAppropriateFor	Description	Example
Generic.1.0	Generic					Generic	
Pathogen.cl.1.0	Pathogen: clinical or host-associated; version 1.0	Pathogen: clinical or host-associated				Clinical or host-associated pathogen	SAMN02928182
Pathogen.env.1.0	Pathogen: environmental/food/other; version 1.0	Pathogen: environmental/food/other				Environmental, food or other pathogen	SAMN02730065
Microbe.1.0	Microbe; version 1.0	Microbe				Use for bacteria or other unicellular microbes when it is not appropriate or advantageous to use MIxS, Pathogen or Virus packages.	SAMN02911891
Model.organism.animal.1.0	Model organism or animal; version 1.0	Model organism or animal				Use for multicellular samples or cell lines derived from common laboratory model organisms, e.g., mouse, rat, Drosophila, worm, fish, frog, or large mammals including zoo and farm animals.	SAMN02905883
Metagenome.environmental.1.0	Metagenome or environmental; version 1.0	Metagenome or environmental			wgs_diploid	Use for metagenomic and environmental samples when it is not appropriate or advantageous to use MIxS packages.	
Invertebrate.1.0	Invertebrate; version 1.0	Invertebrate				Use for any invertebrate sample.	
Human.1.0	Human; version 1.0	Human				WARNING: Only use for human samples or cell lines that have no privacy concerns. For all studies involving human subjects, it is the submitter's responsibility to ensure that the information supplied protects participant privacy in accordance with all applicable laws, regulations and institutional policies. Make sure to remove any direct personal identifiers from your submission. If there are patient privacy concerns regarding making data fully public, please submit samples and data to NCBI's dbGaP database. dbGaP has controlled access mechanisms and is an appropriate resource for hosting sensitive patient data. For samples isolated from humans use the Pathogen, Microbe or appropriate MIxS package.	SAMN02911274
Plant.1.0	Plant; version 1.0	Plant				Use for any plant sample or cell line.	SAMN02870692
Virus.1.0	Virus; version 1.0	Viral			wgs_single;wgs_batch;wgs_diploid	Use for all virus samples not directly associated with disease. Viral pathogens should be submitted using the Pathogen: Clinical or host-associated pathogen package.	SAMN02927319
Beta-lactamase.1.0	Beta-lactamase; version 1.0	Beta-lactamase			wgs_single;wgs_batch;wgs_diploid	Use for beta-lactamase gene transformants that have sequence and antibiotic resistance data. Please use the 'Supplementary Files' wizard to submit corresponding Sequin and Antibiogram files.	SAMN04099646
MIGS.ba.5.0	MIGS: cultured bacteria/archaea; version 5.0	MIGS Cultured Bacterial/Archaeal	No environmental package	No environmental package	wgs_diploid	Use for cultured bacterial or archaeal genomic sequences. Organism must have lineage Bacteria or Archaea.	SAMN02676578
MIGS.ba.air.5.0	MIGS: cultured bacteria/archaea, air; version 5.0	MIGS Cultured Bacterial/Archaeal	air	air	wgs_diploid	Use for cultured bacterial or archaeal genomic sequences. Organism must have lineage Bacteria or Archaea.	SAMN02676578
MIGS.ba.built.5.0	MIGS: cultured bacteria/archaea, built; version 5.0	MIGS Cultured Bacterial/Archaeal	built	built	wgs_diploid	Use for cultured bacterial or archaeal genomic sequences. Organism must have lineage Bacteria or Archaea.	SAMN02676578
MIGS.ba.host-associated.5.0	MIGS: cultured bacteria/archaea, host-associated; version 5.0	MIGS Cultured Bacterial/Archaeal	host-associated	host-associated	wgs_diploid	Use for cultured bacterial or archaeal genomic sequences. Organism must have lineage Bacteria or Archaea.	SAMN02378805
MIGS.ba.human-associated.5.0	MIGS: cultured bacteria/archaea, human-associated; version 5.0	MIGS Cultured Bacterial/Archaeal	human-associated	human-associated	wgs_diploid	Use for cultured bacterial or archaeal genomic sequences. Organism must have lineage Bacteria or Archaea.	SAMN02839585
MIGS.ba.human-gut.5.0	MIGS: cultured bacteria/archaea, human-gut; version 5.0	MIGS Cultured Bacterial/Archaeal	human-gut	human-gut	wgs_diploid	Use for cultured bacterial or archaeal genomic sequences. Organism must have lineage Bacteria or Archaea.	SAMN02402847
MIGS.ba.human-oral.5.0	MIGS: cultured bacteria/archaea, human-oral; version 5.0	MIGS Cultured Bacterial/Archaeal	human-oral	human-oral	wgs_diploid	Use for cultured bacterial or archaeal genomic sequences. Organism must have lineage Bacteria or Archaea.	SAMN02698681
MIGS.ba.human-skin.5.0	MIGS: cultured bacteria/archaea, human-skin; version 5.0	MIGS Cultured Bacterial/Archaeal	human-skin	human-skin	wgs_diploid	Use for cultured bacterial or archaeal genomic sequences. Organism must have lineage Bacteria or Archaea.	SAMN02736786
MIGS.ba.human-vaginal.5.0	MIGS: cultured bacteria/archaea, human-vaginal; version 5.0	MIGS Cultured Bacterial/Archaeal	human-vaginal	human-vaginal	wgs_diploid	Use for cultured bacterial or archaeal genomic sequences. Organism must have lineage Bacteria or Archaea.	SAMN02400363
MIGS.ba.microbial.5.0	MIGS: cultured bacteria/archaea, microbial; version 5.0	MIGS Cultured Bacterial/Archaeal	microbial	microbial mat/biofilm	wgs_diploid	Use for cultured bacterial or archaeal genomic sequences. Organism must have lineage Bacteria or Archaea.	SAMN02641242
MIGS.ba.miscellaneous.5.0	MIGS: cultured bacteria/archaea, miscellaneous; version 5.0	MIGS Cultured Bacterial/Archaeal	miscellaneous	miscellaneous or artificial	wgs_diploid	Use for cultured bacterial or archaeal genomic sequences. Organism must have lineage Bacteria or Archaea.	SAMN02894449
MIGS.ba.plant-associated.5.0	MIGS: cultured bacteria/archaea, plant-associated; version 5.0	MIGS Cultured Bacterial/Archaeal	plant-associated	plant-associated	wgs_diploid	Use for cultured bacterial or archaeal genomic sequences. Organism must have lineage Bacteria or Archaea.	SAMN02866194
MIGS.ba.sediment.5.0	MIGS: cultured bacteria/archaea, sediment; version 5.0	MIGS Cultured Bacterial/Archaeal	sediment	sediment	wgs_diploid	Use for cultured bacterial or archaeal genomic sequences. Organism must have lineage Bacteria or Archaea.	SAMN02725841
MIGS.ba.soil.5.0	MIGS: cultured bacteria/archaea, soil; version 5.0	MIGS Cultured Bacterial/Archaeal	soil	soil	wgs_diploid	Use for cultured bacterial or archaeal genomic sequences. Organism must have lineage Bacteria or Archaea.	SAMN02853142
MIGS.ba.wastewater.5.0	MIGS: cultured bacteria/archaea, wastewater; version 5.0	MIGS Cultured Bacterial/Archaeal	wastewater	wastewater/sludge	wgs_diploid	Use for cultured bacterial or archaeal genomic sequences. Organism must have lineage Bacteria or Archaea.	SAMN02364111
MIGS.ba.water.5.0	MIGS: cultured bacteria/archaea, water; version 5.0	MIGS Cultured Bacterial/Archaeal	water	water	wgs_diploid	Use for cultured bacterial or archaeal genomic sequences. Organism must have lineage Bacteria or Archaea.	SAMN02867807
MIGS.eu.5.0	MIGS: eukaryote; version 5.0	MIGS Eukaryotic	No environmental package	No environmental package		Use for eukaryotic genomic sequences. Organism must have lineage Eukaryota.	SAMN02900669
MIGS.eu.air.5.0	MIGS: eukaryote, air; version 5.0	MIGS Eukaryotic	air	air		Use for eukaryotic genomic sequences. Organism must have lineage Eukaryota.	SAMN02900669
MIGS.eu.built.5.0	MIGS: eukaryote, built; version 5.0	MIGS Eukaryotic	built	built		Use for eukaryotic genomic sequences. Organism must have lineage Eukaryota.	SAMN02900669
MIGS.eu.host-associated.5.0	MIGS: eukaryote, host-associated; version 5.0	MIGS Eukaryotic	host-associated	host-associated		Use for eukaryotic genomic sequences. Organism must have lineage Eukaryota.	SAMN02776974
MIGS.eu.human-associated.5.0	MIGS: eukaryote, human-associated; version 5.0	MIGS Eukaryotic	human-associated	human-associated		Use for eukaryotic genomic sequences. Organism must have lineage Eukaryota.	SAMN02909964
MIGS.eu.human-gut.5.0	MIGS: eukaryote, human-gut; version 5.0	MIGS Eukaryotic	human-gut	human-gut		Use for eukaryotic genomic sequences. Organism must have lineage Eukaryota.	SAMN02909964
MIGS.eu.human-oral.5.0	MIGS: eukaryote, human-oral; version 5.0	MIGS Eukaryotic	human-oral	human-oral		Use for eukaryotic genomic sequences. Organism must have lineage Eukaryota.	SAMN02909964
MIGS.eu.human-skin.5.0	MIGS: eukaryote, human-skin; version 5.0	MIGS Eukaryotic	human-skin	human-skin		Use for eukaryotic genomic sequences. Organism must have lineage Eukaryota.	SAMN02909964
