package	slot	class	label	count	reccomended
water	env_broad_scale	ENVO:00000447	marine biome	3680.0	True
water	env_broad_scale	ENVO:01000048	ocean biome	1498.0	True
water	env_broad_scale	ENVO:00000873	freshwater biome	1068.0	True
soil	env_broad_scale	ENVO:01000249	urban biome	1011.0	True
soil	env_broad_scale	ENVO:01000180	tundra biome	524.0	True
water	env_local_scale	ENVO:00000039	fjord	506.0	True
sediment	env_broad_scale	ENVO:01000024	marine benthic biome	491.0	True
water	env_broad_scale	ENVO:01000020	estuarine biome	406.0	True
water	env_broad_scale	ENVO:01000035	oceanic epipelagic zone biome	335.0	True
water	env_local_scale	ENVO:00000023	stream	311.0	True
soil	env_medium	ENVO:00005774	peat soil	285.0	True
sediment	env_local_scale	ENVO:01000105	marine benthic feature	277.0	True
water	env_broad_scale	ENVO:00002030	aquatic biome	273.0	True
water	env_broad_scale	ENVO:01000023	marine pelagic biome	244.0	True
sediment	env_broad_scale	ENVO:01000020	estuarine biome	229.0	True
sediment	env_broad_scale	ENVO:00000873	freshwater biome	191.0	True
water	env_broad_scale	ENVO:01000022	marine salt marsh biome	190.0	True
soil	env_medium	ENVO:02000059	surface soil	156.0	True
water	env_local_scale	ENVO:00000022	river	151.0	True
water	env_local_scale	ENVO:00000020	lake	142.0	True
soil	env_medium	ENVO:00002259	agricultural soil	131.0	True
soil	env_broad_scale	ENVO:01000176	shrubland biome	128.0	True
soil	env_broad_scale	ENVO:01000214	tropical shrubland biome	127.0	True
soil	env_local_scale	ENVO:00000247	volcano	127.0	True
sediment	env_local_scale	ENVO:00000020	lake	116.0	True
sediment	env_local_scale	ENVO:00000022	river	110.0	True
plant-associated	env_local_scale	ENVO:00000011	garden	108.0	True
water	env_local_scale	ENVO:01000058	kelp forest	81.0	True
soil	env_medium	ENVO:00002243	histosol	78.0	True
water	env_local_scale	ENVO:00000045	estuary	78.0	True
soil	env_local_scale	ENVO:00002000	slope	74.0	True
soil	env_local_scale	ENVO:01000687	coast	72.0	True
water	env_local_scale	ENVO:02000049	coastal water body	70.0	True
water	env_broad_scale	ENVO:01001230	tropical marginal sea biome	69.0	True
water	env_local_scale	ENVO:01000687	coast	68.0	True
soil	env_medium	ENVO:00005786	upland soil	66.0	True
water	env_broad_scale	ENVO:01000857	temperate mediterranean sea biome	60.0	True
soil	env_local_scale	ENVO:00000277	dry lake	56.0	True
sediment	env_broad_scale	ENVO:01000022	marine salt marsh biome	52.0	True
water	env_local_scale	ENVO:00000033	pond	49.0	True
sediment	env_broad_scale	ENVO:01000252	freshwater lake biome	41.0	True
soil	env_broad_scale	ENVO:01000247	rangeland biome	40.0	True
sediment	env_local_scale	ENVO:01000687	coast	39.0	True
soil	env_local_scale	ENVO:00000081	mountain	34.0	True
soil	env_medium	ENVO:00005769	mountain forest soil	33.0	True
soil	env_broad_scale	ENVO:01000221	temperate woodland biome	31.0	True
water	env_local_scale	ENVO:01000105	marine benthic feature	31.0	True
soil	env_broad_scale	ENVO:01000339	polar biome	30.0	True
soil	env_medium	ENVO:00005741	alpine soil	29.0	True
soil	env_medium	ENVO:00005740	paddy field soil	27.0	True
water	env_broad_scale	ENVO:01000042	neritic epipelagic zone biome	26.0	True
water	env_broad_scale	ENVO:01000032	neritic pelagic zone biome	25.0	True
soil	env_broad_scale	ENVO:01000216	montane shrubland biome	23.0	True
soil	env_broad_scale	ENVO:01000215	temperate shrubland biome	23.0	True
soil	env_medium	ENVO:01001841	volcanic soil	21.0	True
soil	env_local_scale	ENVO:00000086	plain	20.0	True
soil	env_medium	ENVO:00002229	arenosol	20.0	True
sediment	env_broad_scale	ENVO:01000025	marine neritic benthic zone biome	18.0	True
water	env_local_scale	ENVO:00000130	rocky reef	18.0	True
water	env_local_scale	ENVO:00000304	shore	18.0	True
water	env_broad_scale	ENVO:01000027	marine abyssal zone biome	16.0	True
soil	env_medium	ENVO:00005750	grassland soil	15.0	True
water	env_local_scale	ENVO:00000032	bay	15.0	True
water	env_broad_scale	ENVO:01000030	marine hydrothermal vent biome	14.0	True
water	env_local_scale	ENVO:00000150	coral reef	11.0	True
soil	env_broad_scale	ENVO:01000219	anthropogenic terrestrial biome	10.0	True
soil	env_medium	ENVO:00002246	ferralsol	10.0	True
sediment	env_local_scale	ENVO:00000045	estuary	9.0	True
soil	env_local_scale	ENVO:00000170	dune	9.0	True
soil	env_medium	ENVO:01001526	frozen soil	9.0	True
water	env_broad_scale	ENVO:01000252	freshwater lake biome	7.0	True
water	env_broad_scale	ENVO:01000047	mediterranean sea biome	7.0	True
soil	env_local_scale	ENVO:01000437	lava field	6.0	True
soil	env_medium	ENVO:00002232	andosol	6.0	True
soil	env_medium	ENVO:00002261	forest soil	3.0	True
water	env_broad_scale	ENVO:01000043	neritic mesopelagic zone biome	3.0	True
water	env_broad_scale	ENVO:01000038	oceanic abyssopelagic zone biome	3.0	True
sediment	env_broad_scale	ENVO:01000127	marine cold seep biome	2.0	True
water	env_local_scale	ENVO:00000138	cove	2.0	True
water	env_local_scale	ENVO:00000051	hot spring	2.0	True
soil	env_local_scale	ENVO:00000091	beach	1.0	True
soil	env_local_scale	ENVO:00000011	garden	1.0	True
soil	env_medium	ENVO:00002230	anthrosol	1.0	True
soil	env_medium	ENVO:00005780	greenhouse soil	1.0	True
soil	env_medium	ENVO:00002258	loam	1.0	True
water	env_broad_scale	ENVO:01000051	marine black smoker biome	1.0	True
water	env_broad_scale	ENVO:01000050	marine subtidal rocky reef biome	1.0	True
water	env_local_scale	ENVO:00000091	beach	1.0	True
water	env_local_scale	ENVO:00000025	reservoir	1.0	True
water	env_local_scale	ENVO:00000014	canal	0.0	True
water	env_local_scale	ENVO:00000026	well	0.0	True
water	env_local_scale	ENVO:00000027	spring	0.0	True
sediment	env_local_scale	ENVO:00000033	pond	0.0	True
water	env_local_scale	ENVO:00000040	waterfall	0.0	True
plant-associated	env_local_scale	ENVO:00000046	hedge	0.0	True
water	env_local_scale	ENVO:00000050	geyser	0.0	True
water	env_local_scale	ENVO:00000061	underground water body	0.0	True
soil	env_local_scale	ENVO:00000067	cave	0.0	True
water	env_local_scale	ENVO:00000067	cave	0.0	True
soil	env_local_scale	ENVO:00000068	tunnel	0.0	True
sediment	env_local_scale	ENVO:00000068	tunnel	0.0	True
water	env_local_scale	ENVO:00000068	tunnel	0.0	True
soil	env_local_scale	ENVO:00000083	hill	0.0	True
soil	env_local_scale	ENVO:00000087	cliff	0.0	True
soil	env_local_scale	ENVO:00000100	valley	0.0	True
sediment	env_local_scale	ENVO:00000101	delta	0.0	True
water	env_local_scale	ENVO:00000101	delta	0.0	True
soil	env_local_scale	ENVO:00000114	agricultural field	0.0	True
plant-associated	env_local_scale	ENVO:00000114	agricultural field	0.0	True
soil	env_local_scale	ENVO:00000128	dry valley	0.0	True
sediment	env_local_scale	ENVO:00000128	dry valley	0.0	True
sediment	env_local_scale	ENVO:00000141	bank	0.0	True
water	env_local_scale	ENVO:00000141	bank	0.0	True
soil	env_local_scale	ENVO:00000146	snow field	0.0	True
water	env_local_scale	ENVO:00000146	snow field	0.0	True
host-associted	env_local_scale	ENVO:00000150	coral reef	0.0	True
soil	env_local_scale	ENVO:00000169	canyon	0.0	True
water	env_local_scale	ENVO:00000169	canyon	0.0	True
soil	env_local_scale	ENVO:00000174	isthmus	0.0	True
soil	env_local_scale	ENVO:00000175	karst	0.0	True
soil	env_local_scale	ENVO:00000179	mesa	0.0	True
soil	env_local_scale	ENVO:00000182	plateau	0.0	True
sediment	env_local_scale	ENVO:00000234	bayou	0.0	True
water	env_local_scale	ENVO:00000234	bayou	0.0	True
soil	env_local_scale	ENVO:00000248	glacial valley	0.0	True
water	env_local_scale	ENVO:00000248	glacial valley	0.0	True
sediment	env_local_scale	ENVO:00000264	seamount	0.0	True
sediment	env_local_scale	ENVO:00000277	dry lake	0.0	True
soil	env_local_scale	ENVO:00000283	ridge	0.0	True
plant-associated	env_local_scale	ENVO:00000283	ridge	0.0	True
sediment	env_local_scale	ENVO:00000304	shore	0.0	True
soil	env_local_scale	ENVO:00000305	peninsula	0.0	True
sediment	env_local_scale	ENVO:00000314	alluvial fan	0.0	True
water	env_local_scale	ENVO:00000317	tidal pool	0.0	True
sediment	env_local_scale	ENVO:00000329	phreatic zone	0.0	True
water	env_local_scale	ENVO:00000329	phreatic zone	0.0	True
soil	env_local_scale	ENVO:00000382	lake shore	0.0	True
sediment	env_local_scale	ENVO:00000382	lake shore	0.0	True
water	env_local_scale	ENVO:00000382	lake shore	0.0	True
water	env_local_scale	ENVO:00000394	strait	0.0	True
sediment	env_local_scale	ENVO:00000406	mid-ocean ridge	0.0	True
soil	env_local_scale	ENVO:00000420	tombolo	0.0	True
soil	env_local_scale	ENVO:00000444	woodland clearing	0.0	True
soil	env_local_scale	ENVO:00000516	hummock	0.0	True
water	env_local_scale	ENVO:00001996	mine drainage	0.0	True
hcr-cores	env_local_scale	ENVO:00002063	oil seep	0.0	True
hcr-fluids-swabs	env_local_scale	ENVO:00002063	oil seep	0.0	True
soil	env_medium	ENVO:00002116	contaminated soil	0.0	True
soil	env_medium	ENVO:00002146	xylene contaminated soil	0.0	True
hcr-cores	env_local_scale	ENVO:00002185	oil reservoir	0.0	True
hcr-fluids-swabs	env_local_scale	ENVO:00002185	oil reservoir	0.0	True
soil	env_medium	ENVO:00002231	alisol	0.0	True
soil	env_medium	ENVO:00002233	albeluvisol	0.0	True
soil	env_medium	ENVO:00002234	acrisol	0.0	True
soil	env_medium	ENVO:00002235	cambisol	0.0	True
soil	env_medium	ENVO:00002236	cryosol	0.0	True
