taxonomy_id	taxonomy_name
445970	Alistipes putredinis DSM 17216
449673	Bacteroides stercoris ATCC 43183
6526	Biomphalaria glabrata
9483	Callithrix jacchus
445974	Erysipelatoclostridium ramosum DSM 1402
411461	Dorea formicigenerans ATCC 27755
13616	Monodelphis domestica
451639	Ruminococcus sp. GM2/1
451638	Roseburia faecis M72/1
451640	Catenibacterium mitsuokai DSM 15897
5791	Physarum polycephalum
470145	Bacteroides coprocola DSM 17136
471870	Bacteroides intestinalis DSM 17393
470146	Coprococcus comes ATCC 27758
471872	Streptococcus infantarius subsp. infantarius ATCC BAA-102
471871	Clostridium sporogenes ATCC 15579
471881	Proteus penneri ATCC 35198
471874	Providencia stuartii ATCC 25827
473819	Bifidobacterium dentium ATCC 27678
471875	[Ruminococcus] lactaris ATCC 29176
476272	Blautia hydrogenotrophica DSM 10507
478749	Marvinbryantia formatexigens DSM 14469
94289	Sterkiella histriomuscorum
484018	Bacteroides plebeius DSM 17135
483217	Bacteroides dorei DSM 17855
419610	Methylorubrum extorquens PA1
426368	Methanococcus maripaludis C7
436308	Nitrosopumilus maritimus SCM1
278957	Geminisphaera colitermitum TAV2
428406	Ralstonia pickettii 12D
340101	Victivallis vadensis ATCC BAA-548
439292	[Bacillus] selenitireducens MLS10
440085	Methylorubrum extorquens CM4
441620	Methylorubrum populi BJ001
456320	Methanococcus voltae A3
447217	Anaeromyxobacter sp. K
445932	Elusimicrobium minutum Pei191
460265	Methylobacterium nodulans ORS 2060
396597	Burkholderia ambifaria MEX-5
395965	Methylocella silvestris BL2
396596	Burkholderia ambifaria IOP40-10
85643	Thauera sp. MZ1T
395960	Rhodopseudomonas palustris TIE-1
455488	Anaeromyxobacter dehalogenans 2CP-1
452863	Pseudarthrobacter chlorophenolicus A6
408172	marine metagenome
5755	Acanthamoeba castellanii
7029	Acyrthosiphon pisum
86255	Allocentrotus fragilis
321895	Paraburkholderia silvatlantica
352472	Dictyostelium discoideum AX4
474186	Enterococcus faecalis OG1RF
393011	Francisella tularensis subsp. holarctica OSU18
491077	Lactobacillus reuteri SD2112
9315	Notamacropus eugenii
1328066	Mesocentrotus franciscanus
9739	Tursiops truncatus
491075	Enterococcus faecalis EnGen0297
491074	Enterococcus faecalis TX0104
333849	Enterococcus faecium DO
491120	Francisella tularensis subsp. tularensis ATCC 6223
491121	Francisella tularensis subsp. holarctica KO971026
491122	Francisella tularensis subsp. holarctica MI001730
491125	Francisella tularensis subsp. holarctica RC503
